Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Robert Thomas,STL,C,26,6,18,-6,2,1,0,0,7,0,36,506,11,6,238,209,thomaro01
Miles Wood,NJD,LW,26,6,7,10,35,0,0,0,0,0,71,344,4,43,1,4,woodmi01
Jason Zucker,PIT,LW,25,6,12,6,10,0,0,1,4,0,62,387,8,68,2,6,zuckeja01
Mikael Backlund,CGY,C,27,5,10,6,14,0,1,1,0,1,73,471,8,31,232,208,backlmi01
Aleksander Barkov,FLA,C,20,5,14,4,0,4,0,1,5,0,76,448,15,11,273,211,barkoal01
Anthony Beauvillier,NYI,LW,27,5,6,-1,4,0,0,1,0,0,58,403,9,23,0,0,beauvan01
Nick Bjugstad,ARI,C,25,5,5,7,4,0,1,0,0,0,39,403,13,49,173,223,bjugsni01
Filip Chytil,NYR,C,21,5,7,8,20,0,0,1,0,0,35,305,13,19,70,116,chytifi01
Blake Coleman,CGY,C,27,5,7,2,18,0,0,0,0,0,50,396,15,49,4,4,colembl01
Max Comtois,ANA,LW,17,5,0,-4,44,0,0,0,0,0,27,233,7,30,5,9,comtoma01
Dillon Dube,CGY,C,27,5,6,-2,12,0,2,0,0,0,41,402,7,43,20,25,dubedi01
Christian Dvorak,MTL,C,26,5,6,0,0,0,0,1,1,0,35,426,27,2,171,152,dvorach01
Lars Eller,WSH,C,29,5,6,-3,16,0,0,0,0,0,42,437,15,39,187,172,ellerla01
Joel Farabee,PHI,LW,28,5,10,-2,8,0,0,1,0,0,54,491,21,31,8,7,farabjo01
Christian Fischer,ARI,RW,25,5,5,3,10,0,1,0,0,0,40,388,14,40,0,15,fischch01
Nick Foligno,BOS,LW,26,5,9,7,24,2,0,0,3,0,34,315,13,56,14,7,foligni01
Miro Heiskanen,DAL,D,24,5,16,8,12,1,0,0,9,1,65,606,30,18,0,0,heiskmi01
Mike Hoffman,MTL,C,16,5,3,3,8,0,0,1,1,0,34,225,8,7,6,2,hoffmmi02
Calle Jarnkrok,TOR,C,25,5,4,-2,10,0,1,0,0,0,36,326,5,18,23,26,jarnkca01
Seth Jarvis,CAR,C,26,5,8,6,0,0,0,0,1,0,54,424,14,29,3,6,jarvise01
Kaapo Kakko,NYR,RW,29,5,4,-1,6,0,0,0,0,0,51,452,15,14,1,3,kakkoka01
Evander Kane,EDM,LW,14,5,8,4,16,0,0,0,2,0,50,273,8,51,3,8,kaneev01
Kasperi Kapanen,PIT,RW,18,5,6,0,0,2,0,2,0,0,28,222,5,34,1,4,kapanka01
Phil Kessel,VEG,RW,29,5,6,-7,10,0,0,0,4,0,49,359,9,2,1,3,kesseph01
Torey Krug,STL,D,24,5,6,-22,13,4,0,1,1,0,48,463,32,20,0,0,krugto01
Luke Kunin,SJS,C,30,5,8,-9,32,2,0,0,2,0,58,478,27,62,5,7,kuninlu01
Alexis Lafreniere,NYR,LW,29,5,8,3,10,0,0,1,0,0,59,445,10,55,10,12,lafreal01
Blake Lizotte,LAK,C,29,5,5,-5,23,0,0,1,0,0,43,333,15,34,133,140,lizotbl01
Casey Mittelstadt,BUF,C,27,5,11,-11,8,3,1,0,7,0,39,413,2,12,162,178,mitteca01
Brandon Montour,FLA,D,25,5,17,1,14,3,0,2,7,0,76,614,32,30,0,0,montobr01
Josh Morrissey,WPG,D,26,5,25,11,21,1,0,3,10,0,42,604,40,27,0,0,morrijo04
Logan O'Connor,COL,RW,25,5,3,3,10,0,1,0,0,1,44,385,22,38,0,7,oconnlo01
T.J. Oshie,WSH,C,18,5,6,-5,17,4,0,1,1,0,36,307,11,49,15,33,oshietj01
Brett Ritchie,CGY,RW,22,5,2,1,14,0,0,0,0,0,28,204,3,46,2,0,ritchbr01
Nicolas Roy,VEG,C,26,5,8,0,10,2,0,1,2,1,32,401,16,35,149,148,royni01
Brandon Saad,STL,LW,20,5,2,-4,4,0,0,0,0,0,33,329,9,13,0,2,saadbr01
Tyler Seguin,DAL,C,27,5,15,5,12,1,0,2,2,0,61,455,9,23,194,156,seguity01
Daniel Sprong,SEA,RW,19,5,9,8,4,2,0,1,4,0,37,197,3,9,1,2,spronda01
