Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Sheldon Neuse,LAD,NL,33,66,65,6,11,1,0,3,4,1,1,1,26,.169,.182,.323,.505,31,21,2,0,0,0,0,neusesh01
Tyler Nevin,BAL,AL,6,18,14,3,4,2,0,1,3,0,0,4,5,.286,.444,.643,1.087,194,9,0,0,0,0,0,nevinty01
Sean Newcomb*,ATL,NL,29,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,newcose01
Kevin Newman,PIT,NL,148,554,517,50,117,22,3,5,39,6,1,27,41,.226,.265,.309,.574,55,160,7,1,6,3,3,newmake01
Tomás Nido,NYM,NL,58,161,153,16,34,5,1,3,13,1,0,5,44,.222,.261,.327,.588,60,50,4,3,0,0,1,nidoto01
Brandon Nimmo*,NYM,NL,92,386,325,51,95,17,3,8,28,5,4,54,79,.292,.401,.437,.838,131,142,3,5,2,0,0,nimmobr01
Stephen Nogosek,NYM,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,nogosst01
John Nogowski,TOT,NL,52,143,129,14,30,7,0,1,14,0,1,12,22,.233,.301,.310,.611,67,40,2,1,0,1,0,nogowjo01
John Nogowski,STL,NL,19,20,18,2,1,0,0,0,0,0,0,1,2,.056,.150,.056,.206,-39,1,1,1,0,0,0,nogowjo01
John Nogowski,PIT,NL,33,123,111,12,29,7,0,1,14,0,1,11,20,.261,.325,.351,.677,84,39,1,0,0,1,0,nogowjo01
Aaron Nola,PHI,NL,31,63,49,5,7,2,0,0,4,0,0,6,29,.143,.232,.184,.416,15,9,0,0,7,1,0,nolaaa01
Austin Nola,SDP,NL,56,194,173,15,47,12,0,2,29,0,1,14,19,.272,.340,.376,.716,101,65,2,5,0,2,0,nolaau01
Sean Nolin*,WSN,NL,10,6,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,nolinse01
Lars Nootbaar*,STL,NL,58,124,109,15,26,3,1,5,15,2,1,13,28,.239,.317,.422,.739,103,46,0,0,1,1,1,nootbla01
Daniel Norris*,TOT,MLB,18,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,norrida01
Daniel Norris*,DET,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,norrida01
Daniel Norris*,MIL,NL,16,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,norrida01
