Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Eric Hosmer*,SDP,NL,38,156,143,23,41,6,0,9,36,4,0,9,28,.287,.333,.517,.851,132,74,3,2,0,2,0,hosmeer01
Joe Hudson,SEA,AL,9,20,17,0,3,0,0,0,0,0,0,2,5,.176,.263,.176,.440,28,3,0,0,1,0,0,hudsojo03
Sam Huff,TEX,AL,10,33,31,5,11,3,0,3,4,0,0,2,11,.355,.394,.742,1.136,204,23,0,0,0,0,0,huffsa01
José Iglesias,BAL,AL,39,150,142,16,53,17,0,3,24,0,0,3,17,.373,.400,.556,.956,157,79,1,4,0,1,0,iglesjo01
Raisel Iglesias,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,iglesra01
Ender Inciarte*,ATL,NL,46,131,116,17,22,2,1,1,10,4,1,12,25,.190,.262,.250,.512,36,29,0,0,1,2,0,inciaen01
Alex Jackson,ATL,NL,5,7,7,0,2,1,0,0,0,0,0,0,4,.286,.286,.429,.714,85,3,1,0,0,0,0,jacksal02
Travis Jankowski*,CIN,NL,16,17,15,3,1,0,0,0,0,2,1,2,7,.067,.176,.067,.243,-32,1,1,0,0,0,0,jankotr01
Danny Jansen,TOR,AL,43,147,120,18,22,3,0,6,20,0,0,21,31,.183,.313,.358,.671,85,43,1,2,3,1,0,janseda01
Jon Jay*,ARI,NL,18,57,50,5,8,1,0,1,4,0,0,3,12,.160,.211,.240,.451,22,12,0,1,0,3,0,jayjo02
Ryan Jeffers,MIN,AL,26,62,55,5,15,0,0,3,7,0,0,5,19,.273,.355,.436,.791,119,24,0,2,0,0,0,jeffery01
Jeremy Jeffress,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,jeffrje01
Eloy Jiménez,CHW,AL,55,226,213,26,63,14,0,14,41,0,0,12,56,.296,.332,.559,.891,139,119,4,0,0,1,0,jimenel02
